Name,Main Price,Shipping Cost
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$4.02 shipping
2018 Donruss Josh Allen Rated Rookie #304 Bills RC SHARP / CENTERED! ,$61.00,+$4.99 shipping
2018 Panini Donruss Rated Rookie Blue Press Proof Josh Allen Buffalo Bills #304,$159.95,+$4.95 shipping
2018 Josh Allen Donruss Rated Rookie Card # 304,$60.00,+$4.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.16,+$11.03 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC),$35.00,+$5.95 shipping
2018 Panini Donruss Rookie Threads Josh Allen #4 Buffalo Bills,$40.00,+$5.00 shipping
"JOSH ALLEN - 2018 Panini Donruss ""The Rookies"" #R-4 - RC",$40.00,+$5.25 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,$40.79,+$4.99 shipping
2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),$102.50,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$52.00,+$5.15 shipping
2018 Donruss Josh Allen Rated Rookie NM/MINT,$80.00,Free shipping
2018 Donruss Josh Allen Rated Rookie #304 Bills RC,$60.00,+$5.25 shipping
2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),$14.50,+$3.84 shipping
2018 Panini Donruss - Rated Rookie Card #304 Josh Allen (RC),$70.00,Best offer accepted
2018 Donruss #304 Josh Allen RC Rookie Buffalo Bills,$59.79,+$5.40 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$0.99,Best offer accepted
Josh Allen 2018 Panini Donruss - Rated Rookie #304 (RC) Buffalo Bills,$69.99,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$4.02 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen (RC),$64.99,+$4.95 shipping
2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills,$140.00,+$5.35 shipping
2018 Donruss #304 Josh Allen - Buffalo Bills Rated Rookie,$52.00,+$5.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$45.00,+$4.36 shipping
2018 Donruss Josh Allen Rated Rookie #304 Bills RC---NOT MINT READ!,$49.99,+$4.50 shipping
2018 Panini Donruss RATED ROOKIE Josh Allen RC #304 - BUFFALO BILLS,$79.99,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$44.00,+$4.02 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Buffalo Bills,$45.00,+$5.95 shipping
2018 Panini Donruss - Rated Rookie Aqueous Test #304 Josh Allen (RC),$51.00,+$4.02 shipping
2021 Clearly Donruss 2018 Retro Rated Rookie Josh Allen Auto ðŸ”¥ SSP,$550.00,+$7.96 shipping
Josh Allen 2018 Donruss Rated Rookie Card No.304,$60.00,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$46.00,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$40.00,+$4.02 shipping
2018 Panini Donruss JOSH ALLEN Rookie Phenom RC PLAYER WORN Jersey Patch Relic,$44.00,+$5.55 shipping
2018 Donruss Josh Allen The Rookies RC #R4 Bills ðŸ”¥ ðŸ”¥ ðŸ”¥,$29.99,+$5.35 shipping
2018 Donruss Josh Allen Rated Rookie #304,$56.00,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$36.00,+$4.02 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$4.02 shipping
* Panini Donruss 2018 Josh Allen Rated Rookie #304 Bills RC NM/MT,$55.00,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$60.00,+$4.36 shipping
Josh Allen 2018 Donruss Rated Rookie Card No.304,$69.00,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$26.00,+$3.96 shipping
2018 Donruss Josh Allen Rookie Threads,$55.00,+$5.50 shipping
2018 Donruss Football Rookie Threads FACTORY SEALED Pack 1 Hit Per! Josh Allen?,$16.99,+$4.54 shipping
2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),$61.00,+$4.02 shipping
2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),$13.00,+$1.12 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,$85.00,+$5.00 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills RC,$49.99,+$4.59 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$27.50,+$4.02 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,$70.69,+$4.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$3.96 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$80.00,+$3.86 shipping
Panni Donruss 2018 Josh Allen Rated Rookie #304 football trading card NM/MT enca,$73.00,+$4.43 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) signed,$399.00,Best offer accepted
JOSH ALLEN 2018 Panini Donruss Rated Rookie Card BUFFALO BILLS RC,$52.00,+$5.50 shipping
Josh Allen 2018 Panini Donruss - Rated Rookie #304 (RC) Buffalo Bills,$69.00,+$4.75 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$7.50 shipping
Josh Allen RC 2018 DonrussðŸ”¥,$65.00,+$3.96 shipping
Josh Allen 2018 Donruss Rated Rookie BUFFALO BILLS RC,$69.00,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$56.00,+$5.50 shipping
JOSH ALLEN ROOKIE CARD Buffalo Bills Football 2018 DONRUSS GRIDIRON KINGS RC,$13.50,+$5.25 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) ,$54.99,+$4.75 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$5.35 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,$57.75,+$4.99 shipping
Josh Allen RR RC 2018 Donruss # 304,$80.00,Best offer accepted
2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),$65.00,+$4.02 shipping
2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills,$165.00,+$5.40 shipping
2018 Donruss Josh Allen Rated Rookie #304 Buffalo Bills,$60.00,+$4.50 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC),$25.00,+$5.00 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304 RC Bills NICE,$65.00,+$5.25 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$4.11 shipping
2018 PANINI DONRUSS FOOTBALL JOSH ALLEN R-4 THE ROOKIES INSERT BUFFALO BILLS RC,$39.99,+$3.50 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$7.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$60.99,+$4.02 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC),$34.99,+$5.35 shipping
2018 Donruss Josh Allen The Rookies RC #R4 Bills,$24.50,+$4.75 shipping
2018 Donruss Josh Allen Rookie Gridiron Kings RC #RGK4 Bills,$24.50,+$4.75 shipping
2018 Panini Donruss Josh Allen Rated Rookie RC ðŸ”¥ Buffalo Bills ðŸ”¥,$65.00,+$4.02 shipping
2018 Donruss Josh Allen Rated Rookie RC #304 NM (Corners),$54.99,Free shipping
"2018 DONRUSS,JOSH ALLEN RC#304 + PRECISION PASSERS RC#PP-17 + GOLD TEAM #GT-JOA",$62.99,+$5.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.00,+$5.15 shipping
2018 Panini Donruss Rookie RC Gridiron Kings Josh Allen #RGK-4,$12.50,+$5.50 shipping
2018 Panini Donruss #4 Josh Allen RC Rookie Threads Green Foil (READ Desc.),$19.99,+$5.45 shipping
ðŸ”¥2018 Donruss Josh Allen Purple Prizm Rated Rookie Stat Line 20/99 RC Bills,$400.00,+$5.35 shipping
2018 PANINI DONRUSS RATED ROOKIE JOSH ALLEN RC  #304 BUFFALO BILLS,$48.00,+$4.45 shipping
Panni Donruss 2018 Josh Allen Rated Rookie #304 Buffalo Bills,$60.00,+$5.35 shipping
2018 Josh Allen Panini Donruss #304 Rated Rookie,$95.00,+$0.99 shipping
2022 Clearly Donruss JOSH ALLEN 2018 Retro Rated Rookie RR SSP Buffalo Bills,$45.00,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$60.00,+$5.25 shipping
2018 Panini Donruss Josh Allen RATED ROOKIE #304 Buffalo Bills,$61.00,+$3.80 shipping
Josh Allen 2018 Panini Donruss Rated Rookie Buffalo Bills #304 (Card 2),$66.00,Best offer accepted
Josh Allen 2018 Panini Donruss Rated Rookie Buffalo Bills #304 (Card 3),$66.00,Best offer accepted
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$57.00,+$4.49 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304,$51.00,+$3.96 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC,$70.00,+$1.87 shipping
2018 Donruss Rookie Gridiron Kings Josh Allen Rookie Buffalo Bills #RGK-4,$36.00,+$5.35 shipping
2018 Panini Donruss Josh Allen RATED ROOKIE #304 Buffalo Bills,$51.00,+$5.35 shipping
"2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) , Buffalo Bills",$56.54,+$5.45 shipping
Josh Allen 2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (,$85.00,+$4.02 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.00,+$3.86 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$56.00,+$1.12 shipping
2018 Josh Allen Donruss Rookie Gridiron Kings Color Match Canvas Finish,$14.99,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$4.02 shipping
2018 Panini Donruss Josh Allen RGK-4 Rookie Gridiron Kings Insert Bills ,$29.95,Free shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC,$55.00,+$3.50 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$5.95 shipping
Panni Donruss 2018 Josh Allen Rated Rookie #304 Buffalo Bills,$74.99,+$5.35 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,$52.99,+$4.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen  has soft corners wonâ€™t gem,$35.00,+$5.25 shipping
2018 Donruss Josh Allen Rated Rookie,$50.00,+$5.25 shipping
2018 Panini Donruss Rookie Threads Josh Allen #4 Rookie RC Player Worn,$36.00,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$54.99,Free shipping
JOSH ALLEN 2018 DONRUSS FOOTBALL BLUE PRESS PROOF RATED ROOKIE CARD #304 MINT,$100.00,+$4.02 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills,$51.48,+$11.77 shipping
2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),$20.00,+$4.11 shipping
2018 Panini Donruss Rookie Threads Josh Allen ,$40.00,+$5.45 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$5.40 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen  has soft corners wonâ€™t gem,$45.00,+$5.25 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen ROOKIE CARD RC NICE RARE,$51.00,+$6.75 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC Buffalo Bills,$51.00,+$5.25 shipping
2018 Panini Donruss Josh Allen RATED ROOKIE #304 Buffalo Bills,$56.00,+$4.11 shipping
2018 Panini Donruss JOSH ALLEN RATED ROOKIEðŸ”¥ðŸ”¥ BILLS,$60.01,+$5.55 shipping
JOSH ALLEN ROOKIE CARD Buffalo Bills Football 2018 DONRUSS GRIDIRON KINGS $$ RC!,$21.50,+$2.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,Free shipping
2018 Donruss Josh Allen Rated Rookie #304 AUTO BECKETT 10 Buffalo Bills,$429.99,Best offer accepted
2018 Panini Donruss Green Foil Rookie Threads #4 Josh Allen RC Buffalo Bills,$45.47,Buy It Now
2018 Donruss Josh Allen Rated Rookie Card,$73.00,+$5.25 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$59.99,+$4.95 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$62.00,+$5.55 shipping
2018 Panini Donruss Josh Allen RATED ROOKIE #304 Buffalo Bills,$74.99,+$3.86 shipping
2018 DONRUSS JOSH ALLEN RC BLUE PRESS PROOF SP BILLS # 304,$75.00,+$5.25 shipping
JOSH ALLEN ROOKIE CARD Buffalo Bills Football 2018 DONRUSS GRIDIRON KINGS $$ RC!,$69.00,Free shipping
"2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) , Buffalo Bills",$60.00,+$4.02 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC Buffalo Bills,$59.99,+$3.96 shipping
2018 Panini Donruss Football Josh Allen Rated Rookie - Buffalo Bills,$57.00,+$5.00 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC Buffalo Bills,$65.00,+$5.25 shipping
2018 Panini Donruss Bills Josh Allen Rated Rookie #304,$60.00,Free shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC Buffalo Bills,$59.99,+$3.49 shipping
2018 PANINI DONRUSS FOOTBALL JOSH ALLEN R-4 THE ROOKIES BUFFALO BILLS RC read ,$26.00,+$2.50 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 RC,$56.00,+$1.12 shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen RC Buffalo Bills,$65.00,+$4.02 shipping
JOSH ALLEN 2018 DONRUSS RATED ROOKIE FOOTBALL BUFFALO BILLS RC Q1545,$56.00,+$5.50 shipping
2018 Donruss The Rookies Josh Allen Panini Rookie RC,$12.14,+$11.03 shipping
2018 Donruss Josh Allen RC Rated Rookie #304 EX/MT (Corners),$49.99,+$5.45 shipping
2018 Donruss Rookie Gridiron Kings Josh Allen Rookie Buffalo Bills #RGK-4,$24.99,+$4.25 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills,$51.48,+$11.77 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$53.00,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen RC Bills,$51.00,+$4.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Near Mint Condition,$45.00,Best offer accepted
2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),$20.00,+$1.12 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen ROOKIE CARD RC NICE RARE,$54.99,+$5.15 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$60.00,+$4.11 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Near Mint Condition,$57.00,+$3.96 shipping
JOSH ALLEN 2018 DONRUSS RATED ROOKIE BASE BILLS RC Q1754,$50.00,+$5.50 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$8.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$58.00,Free shipping
JOSH ALLEN * 2018 Donruss Football  * Base * Rated Rookie * #304,$50.00,+$5.00 shipping
2022 Donruss Clearly Football 2018 Retro Rated Rookie Josh Allen Pack Fresh,$59.00,Free shipping
2018 Panini Donruss Josh Allen Rated Rookie Green Press Proof SSP 304,$82.00,+$3.96 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$5.35 shipping
Josh Allen 2018 Panini Donruss Rated Rookie #304 Buffalo Bills,$63.99,Free shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 RC,$62.99,+$5.40 shipping
2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills,$50.00,+$5.25 shipping
"2018 JOSH ALLEN DONRUSS ""RATED ROOKIE"" ROOKIE CARD",$59.99,+$4.11 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$20.40,Best offer accepted
Josh Allen Rookie Card 2018 Donruss Rated Rookie Card #304 Buffalo Bills,$69.99,Free shipping
2018 Donruss Josh Allen Rated Rookie RC #304 Bills,$80.00,+$5.35 shipping
2018 Panini Donruss Josh Allen Rookie Phenom Patch Bills C656,$26.00,+$4.99 shipping
JOSH ALLEN 2018 DONRUSS ROOKIE GRIDIRON KINGS BUFFALO BILLS RC Q1300,$20.50,+$5.50 shipping
JOSH ALLEN 2018 PANINI DONRUSS #304 RATED ROOKIE BUFFALO BILLS RC,$56.89,+$5.50 shipping
2018 Josh Allen Donruss #304 Gem Mint 10 RC Rookie Buffalo Bills,$89.99,Buy It Now
2018 Panini Donruss Josh Allen Rated Rookie #304 Buffalo Bills,$51.48,+$11.77 shipping
"2018 JOSH ALLEN DONRUSS ""RATED ROOKIE"" ROOKIE CARD",$62.89,+$5.00 shipping
Josh Allen PSA 10 2018 Panini Donruss RC #304 Rookie ðŸ’ŽðŸ’Ž GEM MINT Buffalo Bills,$71.00,+$4.43 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen  MINT & (ONE TOUCH INCLUDED ),$42.99,+$5.25 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC) MVP????,$40.00,Free shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 RC,$56.00,+$4.99 shipping
2018 Panini Donruss Football Josh Allen Rated Rookie - Buffalo Bills,$63.00,+$5.40 shipping
2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills,$165.00,+$5.40 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Buffalo Bills,$59.99,+$6.75 shipping
Josh Allen 2018 Donruss Rated Rookie Base #304,$54.99,+$5.40 shipping
2018 Donruss Josh Allen RC Rated Rookie #304 EX/MT (Corners),$49.99,Free shipping
2018 Panini Donruss Rated Rookie #304 Josh Allen Rookie card RC Buffalo Bills,$60.00,+$5.55 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$59.99,+$4.25 shipping
2018 DONRUSS JOSH ALLEN RC BLUE PRESS PROOF SP BILLS # 304,$75.00,+$5.25 shipping
2018 Panini Donruss The Rookies #R-4 Josh Allen Buffalo Bills RC,$40.00,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC)ðŸ”¥ðŸ“ˆðŸ“ˆ,$61.00,+$5.25 shipping
2018 Panini Donruss NFL Buffalo Bills Josh Allen Rookie Card #R-4,$39.99,+$3.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$68.00,+$4.19 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$60.00,+$7.00 shipping
2018 Donruss Rookie Gridiron Kings Josh Allen Rookie Card ,$25.00,+$4.02 shipping
2018 Panini Donruss - The Rookies #R-4 Josh Allen (RC) MINT WOW!!,$35.15,+$1.75 shipping
2018 Donruss Rookie Gridiron Kings Josh Allen Rookie Buffalo Bills #RGK-4,$14.00,Free shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) MINT!,$51.00,+$5.15 shipping
2018 Donruss Josh Allen Rookie Threads Jersey #4 Bills,$27.17,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$64.95,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$58.99,+$1.99 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 RC Buffalo Bills Near Mint +,$51.00,+$4.02 shipping
2018 Panini Donruss #304 Josh Allen Buffalo Bills RC Rookie Excellent Condition,$45.00,+$5.00 shipping
JOSH ALLEN 2018 DONRUSS FOOTBALL BLUE PRESS PROOF RATED ROOKIE CARD #304 MINT,$120.00,+$4.85 shipping
2018 Donruss Josh Allen Base Rated Rookie RC Buffalo Bills MINT,$80.00,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Buffalo Bills,$54.00,+$5.25 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$5.25 shipping
2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills,$59.99,+$2.99 shipping
2018 Panini Donruss #304 Josh Allen Buffalo Bills RC Rookie,$51.00,+$3.96 shipping
2018 Donruss RATED ROOKIE Josh Allen 304,$60.00,+$3.96 shipping
ðŸ”¥ 2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) ðŸ”¥ ,$51.00,+$5.25 shipping
2018 Panini Donruss #304 Josh Allen Buffalo Bills RC Rookie,$51.00,+$5.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$5.25 shipping
2018 Panini Donruss Josh Allen Rated Rookie Press Proof #304 Buffalo Bills,$147.09,+$14.71 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$3.99 shipping
2018 DONRUSS ROOKIE THREADS #4 JOSH ALLEN RC JERSEY HIGH GRADE NMMT/MINT *322255,$29.00,+$3.00 shipping
2018 DONRUSS ROOKIE THREADS JOSH ALLEN RC JERSEY HIGH GRADE NMMT/MINT *322093,$42.09,+$3.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$45.00,+$3.96 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$5.00 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$47.00,+$0.88 shipping
2018 Panini Donruss Rated Rookie Josh Allen #304 RC Bills,$46.00,+$5.00 shipping
JOSH ALLEN 2018 Donruss Rookie Threads Jersey Relic RC RT-JA BILLS INVEST!!,$26.00,+$5.99 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen RC Bills,$49.99,+$3.86 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$5.35 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.00,+$0.68 shipping
2018 Donruss Gridiron Kings JOSH ALLEN Rookie #RGK-4 BUFFALO BILLS,$16.50,+$4.50 shipping
2018 Donruss Rated Rookie Josh Allen RC #304,$52.00,+$5.69 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$53.00,+$5.25 shipping
2018 Donruss Rated Rookie Josh Allen #304 Buffalo Bills,$44.00,+$5.25 shipping
2018 Donruss Signature Marks Josh Allen Auto Rookie SSP Bills RC,$355.00,+$10.00 shipping
2018 Panini Donruss Josh Allen Rated Rookie Green Press Proof SSP 304,$118.50,+$3.96 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$51.00,+$5.50 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$60.00,+$5.15 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$50.00,+$5.00 shipping
2018 Josh Allen RATED ROOKIE RED PRESS PROOF PARRALLEL SP PANINI DONRUSS,$160.00,+$4.00 shipping
2018 PANINI DONRUSS JOSH ALLEN RATED ROOKIE RC FOOTBALL CARD #304 NM+ *YCC*,$58.00,+$4.36 shipping
2018 Donruss Josh Allen Rated RC #304,$40.00,+$3.96 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC)ðŸ”¥ðŸ“ˆðŸ“ˆ,$51.00,+$5.25 shipping
2018 Panini Donruss The Rookies #R-4 Josh Allen Buffalo Bills RC,$25.00,+$4.50 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$65.00,+$1.87 shipping
2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),$55.00,+$4.11 shipping
2018 PANINI DONRUSS FOOTBALL 4-PACK BLISTER HANGER JOSH ALLEN LAMAR JACKSON RC,$54.99,Free shipping
Josh Allen Rated Rookie #304 RC 2018 Donruss Panini Buffalo Bills!! MVP!!,$53.00,+$6.00 shipping
JOSH ALLEN 2018 DONRUSS RATED ROOKIE PRESS PROOF RED RC Q0626,$95.50,+$5.50 shipping
